model,accuracy,precision,recall,f1,roc_auc,train_time_s,pred_time_s,n_qubits,n_train_used,n_test_used
Model1_RawFeatures+SVM,0.6155,0.5453272068808326,0.5424370260278991,0.5411581488106153,,1.7363303000020096,1.4834493000016664,,,
Model2_RF+PCA+SVM,0.5767649477270057,0.5057265988540133,0.511761229573687,0.5033770172879569,,12.765730999999505,10.897227499997825,,,
Model3_RF+PCA+QuantumKernel+SVM,0.3466666666666667,0.3509993457032456,0.3466666666666667,0.340092732249595,,1.6972655999998096,0.0003639999995357357,10.0,300.0,150.0
