model,accuracy,precision,recall,f1,roc_auc,train_time_s,pred_time_s
LogisticRegression,0.6049571243979796,0.5353499079183158,0.5391008685370208,0.5319479042334347,0.7594352543147324,0.7849561999973957,0.01281149999704212
SVM_RBF,0.6155,0.5453272068808326,0.5424370260278991,0.5411581488106153,,1.7363303000020096,1.4834493000016664
RandomForest,0.634147773992717,0.5279754926565202,0.5075034381811475,0.513486179867438,0.7679190355133199,1.1785811000008835,0.11221690000093076
KNN,0.6233995066369082,0.49965227439599724,0.454395757575824,0.45561554696485346,0.710701160098454,0.004072299998369999,3.728614200001175
XGBoost,0.6528250910372372,0.5453223658052246,0.502428439433149,0.5094578289173519,0.7921662246265307,18.31103979999898,0.03485960000398336
